id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,length,lengthLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,roundIndex,roundIndexLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01K2QAWKFQGR9NZ4Q4VW0SB00G,1,2025-08-15T13:02:56.615873-04:00,01K2QAWKF5V6255MQC4V1D9FQT,2025-08-15T13:01:55.575576-04:00,true,2025-08-15T13:03:06.952367-04:00,end of game,2025-08-15T13:03:06.964934-04:00,01K2QAWKGMT5B4X1KEJHV2V69N,2025-08-15T13:01:55.608142-04:00,8,2025-08-15T13:02:56.659686-04:00,01K2QAYF3CWE4J3YST3827XS5Q,2025-08-15T13:02:56.624695-04:00,7,2025-08-15T13:02:56.659686-04:00,null,2025-08-15T13:03:06.952367-04:00,true,2025-08-15T13:02:56.615873-04:00,true,2025-08-15T13:02:56.615873-04:00,ended,2025-08-15T13:03:06.964934-04:00,"{""block"":2,""playerCount"":1,""useChat"":""no""}",2025-08-15T13:01:55.575576-04:00,block2_oneplayer,2025-08-15T13:01:55.575576-04:00
01K2QAWXC1FZZAQ9RXE3A2H2A9,1,2025-08-15T13:03:43.427816-04:00,01K2QAWXBGEB3B9E2DG8G4BRJN,2025-08-15T13:02:05.697536-04:00,true,2025-08-15T13:03:51.728676-04:00,end of game,2025-08-15T13:03:51.741482-04:00,01K2QAWXCV6TK4ENTQHP9WRXMF,2025-08-15T13:02:05.725373-04:00,8,2025-08-15T13:03:43.471448-04:00,01K2QAZWT9NF6QX1Q54W2J2R7D,2025-08-15T13:03:43.438679-04:00,7,2025-08-15T13:03:43.471448-04:00,null,2025-08-15T13:03:51.728676-04:00,true,2025-08-15T13:03:43.427816-04:00,true,2025-08-15T13:03:43.427816-04:00,ended,2025-08-15T13:03:51.741482-04:00,"{""block"":4,""playerCount"":1,""useChat"":""no""}",2025-08-15T13:02:05.697536-04:00,block4_oneplayer,2025-08-15T13:02:05.697536-04:00
01K2QB1FN0RTA59BMSCCQHNFDR,2,2025-08-15T13:06:28.939265-04:00,01K2QB1FMGQTR04DSF89JKEWNV,2025-08-15T13:04:35.488319-04:00,true,2025-08-15T13:07:03.970612-04:00,end of game,2025-08-15T13:07:03.982065-04:00,01K2QB1FNRXJ7S0WZ2JXGRAPCX,2025-08-15T13:04:35.515479-04:00,8,2025-08-15T13:06:28.976856-04:00,01K2QB4V5JEQA5KVEN99K7WZ2P,2025-08-15T13:06:25.591848-04:00,7,2025-08-15T13:06:28.976856-04:00,null,2025-08-15T13:07:03.970612-04:00,true,2025-08-15T13:06:28.939265-04:00,true,2025-08-15T13:06:28.939265-04:00,ended,2025-08-15T13:07:03.982065-04:00,"{""block"":2,""playerCount"":2,""useChat"":""no""}",2025-08-15T13:04:35.488319-04:00,block2_twoplayer,2025-08-15T13:04:35.488319-04:00
01K2QB1V2QW2F16B5TXV6VK2ZT,2,2025-08-15T13:07:42.041498-04:00,01K2QB1V25FDAP7C3B0JZFSW0F,2025-08-15T13:04:47.191091-04:00,true,2025-08-15T13:08:15.753035-04:00,end of game,2025-08-15T13:08:15.767799-04:00,01K2QB1V3KBW5YFC4R6R0GMZ1D,2025-08-15T13:04:47.221495-04:00,8,2025-08-15T13:07:42.080199-04:00,01K2QB70R5ETMVWTB2QN30Z77T,2025-08-15T13:07:36.843272-04:00,7,2025-08-15T13:07:42.080199-04:00,null,2025-08-15T13:08:15.753035-04:00,true,2025-08-15T13:07:42.041498-04:00,true,2025-08-15T13:07:42.041498-04:00,ended,2025-08-15T13:08:15.767799-04:00,"{""block"":3,""playerCount"":2,""useChat"":""no""}",2025-08-15T13:04:47.191091-04:00,block3_twoplayer,2025-08-15T13:04:47.191091-04:00
01K2QAWG4R9KZ2ZDRE9JK01K7Z,1,2025-08-15T13:02:16.392659-04:00,01K2QAWG3MDEZ9NDS9QH0QFJBJ,2025-08-15T13:01:52.15284-04:00,true,2025-08-15T13:02:42.282141-04:00,end of game,2025-08-15T13:02:42.292813-04:00,01K2QAWG5V5QP1MYR2WCRJ8H1R,2025-08-15T13:01:52.191763-04:00,8,2025-08-15T13:02:16.451211-04:00,01K2QAX7TH4YE635WN1VAZHE5X,2025-08-15T13:02:16.413852-04:00,7,2025-08-15T13:02:16.451211-04:00,null,2025-08-15T13:02:42.282141-04:00,true,2025-08-15T13:02:16.392659-04:00,true,2025-08-15T13:02:16.392659-04:00,ended,2025-08-15T13:02:42.292813-04:00,"{""block"":1,""playerCount"":1,""useChat"":""no""}",2025-08-15T13:01:52.15284-04:00,block1_oneplayer,2025-08-15T13:01:52.15284-04:00
01K2QAWQJXX669KX4WQBJPYGMV,1,2025-08-15T13:03:19.83722-04:00,01K2QAWQJD5D6BKAZVS6RTNAR3,2025-08-15T13:01:59.773306-04:00,true,2025-08-15T13:03:30.679384-04:00,end of game,2025-08-15T13:03:30.690815-04:00,01K2QAWQKS72N9ZWJFYMGZMEJB,2025-08-15T13:01:59.806104-04:00,8,2025-08-15T13:03:19.881531-04:00,01K2QAZ5S237Z7QFP5CC23FFRD,2025-08-15T13:03:19.847074-04:00,7,2025-08-15T13:03:19.881531-04:00,null,2025-08-15T13:03:30.679384-04:00,true,2025-08-15T13:03:19.83722-04:00,true,2025-08-15T13:03:19.83722-04:00,ended,2025-08-15T13:03:30.690815-04:00,"{""block"":3,""playerCount"":1,""useChat"":""no""}",2025-08-15T13:01:59.773306-04:00,block3_oneplayer,2025-08-15T13:01:59.773306-04:00
01K2QB0RFAJQPEC2FMKQCB556M,2,2025-08-15T13:05:14.844732-04:00,01K2QB0RESFNZQAXX6FAGX5BNW,2025-08-15T13:04:11.754203-04:00,true,2025-08-15T13:05:54.493469-04:00,end of game,2025-08-15T13:05:54.508906-04:00,01K2QB0RGA9K91WYNE9Y5FAKXQ,2025-08-15T13:04:11.789082-04:00,8,2025-08-15T13:05:14.8826-04:00,01K2QB2FAYB4TCASEPY4034TCK,2025-08-15T13:05:07.939216-04:00,7,2025-08-15T13:05:14.8826-04:00,null,2025-08-15T13:05:54.493469-04:00,true,2025-08-15T13:05:14.844732-04:00,true,2025-08-15T13:05:14.844732-04:00,ended,2025-08-15T13:05:54.508906-04:00,"{""block"":1,""playerCount"":2,""useChat"":""no""}",2025-08-15T13:04:11.754203-04:00,block1_twoplayer,2025-08-15T13:04:11.754203-04:00
01K2QB0W7ZHFF3GDZVXV1Q30Q1,,,01K2QB0W7KFPVQDVAAFS7X8AQ2,2025-08-15T13:04:15.615973-04:00,false,2025-08-15T13:04:15.615973-04:00,,,01K2QB0W8PPSJWD3DG177ZBYR3,2025-08-15T13:04:15.641785-04:00,,,,,,,,,false,2025-08-15T13:04:15.615973-04:00,,,,,"{""block"":2,""playerCount"":1,""useChat"":""no""}",2025-08-15T13:04:15.615973-04:00,block2_oneplayer,2025-08-15T13:04:15.615973-04:00
01K2QB0ZKM06EBXQNF6105YB2N,,,01K2QB0ZK4CQ96RHTRGDS5PX7K,2025-08-15T13:04:19.060082-04:00,false,2025-08-15T13:04:19.060082-04:00,,,01K2QB0ZMKP6TW3GR979GPTEHQ,2025-08-15T13:04:19.093802-04:00,,,,,,,,,false,2025-08-15T13:04:19.060082-04:00,,,,,"{""block"":3,""playerCount"":1,""useChat"":""no""}",2025-08-15T13:04:19.060082-04:00,block3_oneplayer,2025-08-15T13:04:19.060082-04:00
01K2QB22P295DWW783NCJ18DFY,2,2025-08-15T13:08:57.319851-04:00,01K2QB22NMJ7AEWF6QNPWHP7FH,2025-08-15T13:04:54.978419-04:00,true,2025-08-15T13:09:33.1651-04:00,end of game,2025-08-15T13:09:33.180549-04:00,01K2QB22PSK9QGTYNB10A1SP80,2025-08-15T13:04:55.004055-04:00,8,2025-08-15T13:08:57.36018-04:00,01K2QB9C4G3JZHW0CXTCD24EMA,2025-08-15T13:08:54.038712-04:00,7,2025-08-15T13:08:57.36018-04:00,null,2025-08-15T13:09:33.1651-04:00,true,2025-08-15T13:08:57.319851-04:00,true,2025-08-15T13:08:57.319851-04:00,ended,2025-08-15T13:09:33.180549-04:00,"{""block"":4,""playerCount"":2,""useChat"":""no""}",2025-08-15T13:04:54.978419-04:00,block4_twoplayer,2025-08-15T13:04:54.978419-04:00
