id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01K2QAZ5WA39FJPJGRV9ZXCXXK,01K2QAWQJD5D6BKAZVS6RTNAR3,2025-08-15T13:03:19.946663-04:00,120,2025-08-15T13:03:19.946663-04:00,true,2025-08-15T13:03:28.937861-04:00,01K2QAWQJXX669KX4WQBJPYGMV,2025-08-15T13:03:19.946663-04:00,0,2025-08-15T13:03:19.946663-04:00,true,2025-08-15T13:03:27.685409-04:00,Answer,2025-08-15T13:03:19.946663-04:00,01K2QAZ5T8JM5ASJM88VZNFFW7,2025-08-15T13:03:19.946663-04:00,true,2025-08-15T13:03:27.67361-04:00,true,2025-08-15T13:03:27.692752-04:00,01K2QAZ5W7K89J7AZA7W26CQ1C,2025-08-15T13:03:19.946663-04:00
01K2QAZWWDP7DCX822ZHH8M8MS,01K2QAWXBGEB3B9E2DG8G4BRJN,2025-08-15T13:03:43.50108-04:00,120,2025-08-15T13:03:43.50108-04:00,true,2025-08-15T13:03:46.794477-04:00,01K2QAWXC1FZZAQ9RXE3A2H2A9,2025-08-15T13:03:43.50108-04:00,0,2025-08-15T13:03:43.50108-04:00,true,2025-08-15T13:03:45.97628-04:00,Answer,2025-08-15T13:03:43.50108-04:00,01K2QAZWVB65398GGTMRZW9E8V,2025-08-15T13:03:43.50108-04:00,true,2025-08-15T13:03:45.962777-04:00,true,2025-08-15T13:03:45.986647-04:00,01K2QAZWW89GWPND2CAMX42W57,2025-08-15T13:03:43.50108-04:00
01K2QB2P4E22H1WPTXEFG4EMTH,01K2QB0RESFNZQAXX6FAGX5BNW,2025-08-15T13:05:14.894626-04:00,120,2025-08-15T13:05:14.894626-04:00,true,2025-08-15T13:05:19.786713-04:00,01K2QB0RFAJQPEC2FMKQCB556M,2025-08-15T13:05:14.894626-04:00,0,2025-08-15T13:05:14.894626-04:00,true,2025-08-15T13:05:15.260507-04:00,Answer,2025-08-15T13:05:14.894626-04:00,01K2QB2P3R6DV8JNTW2WHA15N5,2025-08-15T13:05:14.894626-04:00,true,2025-08-15T13:05:15.242377-04:00,true,2025-08-15T13:05:15.271094-04:00,01K2QB2P4BNGR74NSXWVQAK0XY,2025-08-15T13:05:14.894626-04:00
01K2QAX7WD21R9ZRSTJPA674JJ,01K2QAWG3MDEZ9NDS9QH0QFJBJ,2025-08-15T13:02:16.461234-04:00,120,2025-08-15T13:02:16.461234-04:00,true,2025-08-15T13:02:23.960169-04:00,01K2QAWG4R9KZ2ZDRE9JK01K7Z,2025-08-15T13:02:16.461234-04:00,0,2025-08-15T13:02:16.461234-04:00,true,2025-08-15T13:02:16.893587-04:00,Answer,2025-08-15T13:02:16.461234-04:00,01K2QAX7VRMB9E672XZPDCPPRB,2025-08-15T13:02:16.461234-04:00,true,2025-08-15T13:02:16.867734-04:00,true,2025-08-15T13:02:16.922912-04:00,01K2QAX7W92PH07G8Q7HZ6CZXT,2025-08-15T13:02:16.461234-04:00
01K2QAX7Y1HAD64HXXBMG88G8Z,01K2QAWG3MDEZ9NDS9QH0QFJBJ,2025-08-15T13:02:16.51332-04:00,120,2025-08-15T13:02:16.51332-04:00,true,2025-08-15T13:02:40.681221-04:00,01K2QAWG4R9KZ2ZDRE9JK01K7Z,2025-08-15T13:02:16.51332-04:00,0,2025-08-15T13:02:16.51332-04:00,true,2025-08-15T13:02:38.62078-04:00,Answer,2025-08-15T13:02:16.51332-04:00,01K2QAX7VWG7NPQYP138ENC2ED,2025-08-15T13:02:16.51332-04:00,true,2025-08-15T13:02:38.608438-04:00,true,2025-08-15T13:02:38.629371-04:00,01K2QAX7XY1FEHBR4N2N555XTV,2025-08-15T13:02:16.51332-04:00
01K2QB2P5PBMQ1X43W2J7TPJ5Z,01K2QB0RESFNZQAXX6FAGX5BNW,2025-08-15T13:05:14.934325-04:00,120,2025-08-15T13:05:14.934325-04:00,true,2025-08-15T13:05:39.844543-04:00,01K2QB0RFAJQPEC2FMKQCB556M,2025-08-15T13:05:14.934325-04:00,0,2025-08-15T13:05:14.934325-04:00,true,2025-08-15T13:05:35.431113-04:00,Answer,2025-08-15T13:05:14.934325-04:00,01K2QB2P41Y9RRNSTSCQ1W1KT0,2025-08-15T13:05:14.934325-04:00,true,2025-08-15T13:05:35.413072-04:00,true,2025-08-15T13:05:35.44651-04:00,01K2QB2P5M67VTJ07ZF6607J2Q,2025-08-15T13:05:14.934325-04:00
01K2QB4YGE3AXT4HCVXTFA7HZ3,01K2QB1FMGQTR04DSF89JKEWNV,2025-08-15T13:06:29.006673-04:00,120,2025-08-15T13:06:29.006673-04:00,true,2025-08-15T13:06:44.863491-04:00,01K2QB1FN0RTA59BMSCCQHNFDR,2025-08-15T13:06:29.006673-04:00,0,2025-08-15T13:06:29.006673-04:00,true,2025-08-15T13:06:40.14314-04:00,Answer,2025-08-15T13:06:29.006673-04:00,01K2QB4YFBYTQG8AVZDKG1CZC5,2025-08-15T13:06:29.006673-04:00,true,2025-08-15T13:06:40.12631-04:00,true,2025-08-15T13:06:40.158221-04:00,01K2QB4YGC9MKPKY0FMQAEA6J6,2025-08-15T13:06:29.006673-04:00
01K2QB9FEYMCWFG0D8G7KQDSGC,01K2QB22NMJ7AEWF6QNPWHP7FH,2025-08-15T13:08:57.43831-04:00,120,2025-08-15T13:08:57.43831-04:00,true,2025-08-15T13:09:33.139869-04:00,01K2QB22P295DWW783NCJ18DFY,2025-08-15T13:08:57.43831-04:00,0,2025-08-15T13:08:57.43831-04:00,true,2025-08-15T13:09:29.179819-04:00,Answer,2025-08-15T13:08:57.43831-04:00,01K2QB9FCMS6YDSGBZ82VXTZEP,2025-08-15T13:08:57.43831-04:00,true,2025-08-15T13:09:29.161173-04:00,true,2025-08-15T13:09:29.191626-04:00,01K2QB9FEWCKPC10X23QKNSEJD,2025-08-15T13:08:57.43831-04:00
01K2QAYF63R9HXWCYTFT310SP4,01K2QAWKF5V6255MQC4V1D9FQT,2025-08-15T13:02:56.707322-04:00,120,2025-08-15T13:02:56.707322-04:00,true,2025-08-15T13:03:03.552436-04:00,01K2QAWKFQGR9NZ4Q4VW0SB00G,2025-08-15T13:02:56.707322-04:00,0,2025-08-15T13:02:56.707322-04:00,true,2025-08-15T13:03:02.242461-04:00,Answer,2025-08-15T13:02:56.707322-04:00,01K2QAYF4CPERQ9GH2FG9MKNR3,2025-08-15T13:02:56.707322-04:00,true,2025-08-15T13:03:02.229582-04:00,true,2025-08-15T13:03:02.252831-04:00,01K2QAYF60VCGJA4AMPW4HHGYC,2025-08-15T13:02:56.707322-04:00
01K2QB2P64ACSTNAS22R5NGH0M,01K2QB0RESFNZQAXX6FAGX5BNW,2025-08-15T13:05:14.948969-04:00,120,2025-08-15T13:05:14.948969-04:00,true,2025-08-15T13:05:54.470909-04:00,01K2QB0RFAJQPEC2FMKQCB556M,2025-08-15T13:05:14.948969-04:00,0,2025-08-15T13:05:14.948969-04:00,true,2025-08-15T13:05:45.137415-04:00,Answer,2025-08-15T13:05:14.948969-04:00,01K2QB2P444WN3XMF2XVWG99NZ,2025-08-15T13:05:14.948969-04:00,true,2025-08-15T13:05:45.123755-04:00,true,2025-08-15T13:05:45.148188-04:00,01K2QB2P62GSPTW1GFHMQ8B0V7,2025-08-15T13:05:14.948969-04:00
