id,answer,answerLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01JQ7BVS24F629W1501XBN63CH,,,01JQ7BTTHVBN8JNB2D20AFDYKY,2025-03-25T15:18:26.116842-04:00,01JQ7BTTJQ4XSVZYVHZS1KYSFX,2025-03-25T15:18:26.116842-04:00,01JQ7BVNYS39EMQNCM5CF4M888,2025-03-25T15:18:26.116842-04:00,01JQ7BVRRYNY53BSQZJSTJYJQT,2025-03-25T15:18:26.116842-04:00
01JQ7CF05ECZ59M31ABFP5PMSX,Yes,2025-03-25T15:29:03.431381-04:00,01JQ7CAP9F5RDSTVZFFXT8M33J,2025-03-25T15:28:55.982382-04:00,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:28:55.982382-04:00,01JQ7CB5KKV66CPJKXCAAKCGMZ,2025-03-25T15:28:55.982382-04:00,01JQ7CBAHEF77CKSAEEN0BNQJ5,2025-03-25T15:28:55.982382-04:00
01JQ7FVRWGMYEKCE390N3SJAV8,Yes,2025-03-25T16:29:45.630185-04:00,01JQ7FQ2NW8TBJBD4E8V3J20KM,2025-03-25T16:28:20.240106-04:00,01JQ7FQ2PEP32XPZ2GZT60EAX1,2025-03-25T16:28:20.240106-04:00,01JQ7FTHPPEHZ4M8BMHV3Z7F8T,2025-03-25T16:28:20.240106-04:00,01JQ7FVRAK9F5GY86T5TPZ76PA,2025-03-25T16:28:20.240106-04:00
01JQ7G5DAJCZB58VX99063H2K9,No,2025-03-25T16:33:38.80382-04:00,01JQ7FQ2NW8TBJBD4E8V3J20KM,2025-03-25T16:33:36.082491-04:00,01JQ7FQ2PEP32XPZ2GZT60EAX1,2025-03-25T16:33:36.082491-04:00,01JQ7FTNWNRWVJF0C71QHTPX36,2025-03-25T16:33:36.082491-04:00,01JQ7FVRASJRWE4XZQ65D6F697,2025-03-25T16:33:36.082491-04:00
01JQ7A1D6JHDBHHS0EHZHTDNRA,Yes,2025-03-25T14:46:35.281882-04:00,01JQ7A0HGKSWHCF12W9Z0CH5GR,2025-03-25T14:46:33.426084-04:00,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:33.426084-04:00,01JQ7A0X9VWHMG56DZZ6C8G0D3,2025-03-25T14:46:33.426084-04:00,01JQ7A13NMT5K3GGBH3NMR3C2F,2025-03-25T14:46:33.426084-04:00
01JQ7G56THKR0R5QCHWF56ZRK8,No,2025-03-25T16:33:32.49397-04:00,01JQ7FQ2NW8TBJBD4E8V3J20KM,2025-03-25T16:33:29.425204-04:00,01JQ7FQ2PEP32XPZ2GZT60EAX1,2025-03-25T16:33:29.425204-04:00,01JQ7FTNWNRWVJF0C71QHTPX36,2025-03-25T16:33:29.425204-04:00,01JQ7FVRAR2CR182W0MJM32KRM,2025-03-25T16:33:29.425204-04:00
01JQ7A1HNFPP7087QEYR2FT71X,Yes,2025-03-25T14:46:39.845041-04:00,01JQ7A0HGKSWHCF12W9Z0CH5GR,2025-03-25T14:46:37.999515-04:00,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:37.999515-04:00,01JQ7A0X9VWHMG56DZZ6C8G0D3,2025-03-25T14:46:37.999515-04:00,01JQ7A13NMT5K3GGBH49X2R9PC,2025-03-25T14:46:37.999515-04:00
01JQ7A1HNFPP7087QEZ4FGYM5F,Yes,2025-03-25T14:46:41.82688-04:00,01JQ7A0HGKSWHCF12W9Z0CH5GR,2025-03-25T14:46:37.999779-04:00,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:37.999779-04:00,01JQ7A10KWPME05GFBECKEW81E,2025-03-25T14:46:37.999779-04:00,01JQ7A13NMT5K3GGBH49X2R9PC,2025-03-25T14:46:37.999779-04:00
01JQ7C33MAP1M267KPXSM13EGG,,,01JQ7BTTHVBN8JNB2D20AFDYKY,2025-03-25T15:22:26.314588-04:00,01JQ7BTTJQ4XSVZYVHZS1KYSFX,2025-03-25T15:22:26.314588-04:00,01JQ7BVGK7FDRWHRTPF6J6NZNP,2025-03-25T15:22:26.314588-04:00,01JQ7BVRRZ7T7HJB2Y8VRB0MX5,2025-03-25T15:22:26.314588-04:00
01JQ7CF05DDC4TNXNQKBJB94MA,No,2025-03-25T15:29:11.602752-04:00,01JQ7CAP9F5RDSTVZFFXT8M33J,2025-03-25T15:28:55.982017-04:00,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:28:55.982017-04:00,01JQ7CB878998XK04ZGARH1FD4,2025-03-25T15:28:55.982017-04:00,01JQ7CBAHEF77CKSAEEN0BNQJ5,2025-03-25T15:28:55.982017-04:00
01JQ7CFZ0V6SE6WH24MSVEYXS3,Yes,2025-03-25T15:29:29.622457-04:00,01JQ7CAP9F5RDSTVZFFXT8M33J,2025-03-25T15:29:27.579227-04:00,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:29:27.579227-04:00,01JQ7CB5KKV66CPJKXCAAKCGMZ,2025-03-25T15:29:27.579227-04:00,01JQ7CBAHFDWMWQF8NPWS8T01H,2025-03-25T15:29:27.579227-04:00
01JQ7CG40RJK5P5KTS1JV7SX48,Yes,2025-03-25T15:29:34.271902-04:00,01JQ7CAP9F5RDSTVZFFXT8M33J,2025-03-25T15:29:32.696937-04:00,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:29:32.696937-04:00,01JQ7CB5KKV66CPJKXCAAKCGMZ,2025-03-25T15:29:32.696937-04:00,01JQ7CBAHG4HS2G881DBBBGRDE,2025-03-25T15:29:32.696937-04:00
01JQ7CG40SBDX1FD87DCSW2AVJ,No,2025-03-25T15:29:36.720305-04:00,01JQ7CAP9F5RDSTVZFFXT8M33J,2025-03-25T15:29:32.697249-04:00,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:29:32.697249-04:00,01JQ7CB878998XK04ZGARH1FD4,2025-03-25T15:29:32.697249-04:00,01JQ7CBAHG4HS2G881DBBBGRDE,2025-03-25T15:29:32.697249-04:00
01JQ7A13X8PG4J8XZAFH6DN1Y2,Yes,2025-03-25T14:46:28.142598-04:00,01JQ7A0HGKSWHCF12W9Z0CH5GR,2025-03-25T14:46:23.912233-04:00,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:23.912233-04:00,01JQ7A10KWPME05GFBECKEW81E,2025-03-25T14:46:23.912233-04:00,01JQ7A13NKVBD44HBFJ9M67CXD,2025-03-25T14:46:23.912233-04:00
01JQ7A1D6HNH9P7F6B8S8ZGFV7,No,2025-03-25T14:46:37.378479-04:00,01JQ7A0HGKSWHCF12W9Z0CH5GR,2025-03-25T14:46:33.425864-04:00,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:33.425864-04:00,01JQ7A10KWPME05GFBECKEW81E,2025-03-25T14:46:33.425864-04:00,01JQ7A13NMT5K3GGBH3NMR3C2F,2025-03-25T14:46:33.425864-04:00
01JQ7A2416K8MZC4AM3Y4J02Q6,Yes,2025-03-25T14:46:58.494584-04:00,01JQ7A0HGKSWHCF12W9Z0CH5GR,2025-03-25T14:46:56.806507-04:00,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:56.806507-04:00,01JQ7A0X9VWHMG56DZZ6C8G0D3,2025-03-25T14:46:56.806507-04:00,01JQ7A13NSYF2SCJAW3Q83BDGZ,2025-03-25T14:46:56.806507-04:00
