id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01JQ7CBAKBAR1RQWB8KW3TRPYD,01JQ7CAP9F5RDSTVZFFXT8M33J,2025-03-25T15:26:55.595373-04:00,120,2025-03-25T15:26:55.595373-04:00,true,2025-03-25T15:29:43.367135-04:00,,,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:26:55.595373-04:00,0,2025-03-25T15:26:55.595373-04:00,true,2025-03-25T15:29:37.502837-04:00,Answer,2025-03-25T15:26:55.595373-04:00,01JQ7CBAHJRC7V7T1XFR0QYDF7,2025-03-25T15:26:55.595373-04:00,true,2025-03-25T15:29:37.489484-04:00,true,2025-03-25T15:29:37.512099-04:00,,,01JQ7CBAK93YDDN8AP48PB9BKZ,2025-03-25T15:26:55.595373-04:00
01JQ7FVRBZ0SE8M6G6RTWKADQF,01JQ7FQ2NW8TBJBD4E8V3J20KM,2025-03-25T16:28:19.711265-04:00,120,2025-03-25T16:28:19.711265-04:00,true,2025-03-25T16:33:15.374743-04:00,,,01JQ7FQ2PEP32XPZ2GZT60EAX1,2025-03-25T16:28:19.711265-04:00,0,2025-03-25T16:28:19.711265-04:00,true,2025-03-25T16:31:54.404599-04:00,Answer,2025-03-25T16:28:19.711265-04:00,01JQ7FVRAPN0ASDDR62PYM6C05,2025-03-25T16:28:19.711265-04:00,true,2025-03-25T16:31:54.376607-04:00,true,2025-03-25T16:31:54.443725-04:00,,,01JQ7FVRBVPNAEQWGM65R96T6B,2025-03-25T16:28:19.711265-04:00
01JQ7A13P9XR892QW8497E9M7Z,01JQ7A0HGKSWHCF12W9Z0CH5GR,2025-03-25T14:46:23.689506-04:00,30000,2025-03-25T14:46:23.689506-04:00,true,2025-03-25T14:46:33.39335-04:00,,,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:23.689506-04:00,0,2025-03-25T14:46:23.689506-04:00,true,2025-03-25T14:46:28.772844-04:00,Answer,2025-03-25T14:46:23.689506-04:00,01JQ7A13NKVBD44HBFK297P2TF,2025-03-25T14:46:23.689506-04:00,true,2025-03-25T14:46:28.757424-04:00,true,2025-03-25T14:46:28.779443-04:00,,,01JQ7A13P7E5M4R8SEPR97MV9G,2025-03-25T14:46:23.689506-04:00
01JQ7A13QDN2X5HPYFP223NQ02,01JQ7A0HGKSWHCF12W9Z0CH5GR,2025-03-25T14:46:23.725106-04:00,30000,2025-03-25T14:46:23.725106-04:00,true,2025-03-25T14:47:01.418115-04:00,,,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:23.725106-04:00,0,2025-03-25T14:46:23.725106-04:00,true,2025-03-25T14:46:56.833424-04:00,Answer,2025-03-25T14:46:23.725106-04:00,01JQ7A13NSYF2SCJAW3Q83BDGZ,2025-03-25T14:46:23.725106-04:00,true,2025-03-25T14:46:56.817728-04:00,true,2025-03-25T14:46:56.845857-04:00,,,01JQ7A13QB0FR72DXF4DDHHDAR,2025-03-25T14:46:23.725106-04:00
01JQ7CBAJJG55Y8ZNF3G8QFQ4Y,01JQ7CAP9F5RDSTVZFFXT8M33J,2025-03-25T15:26:55.570322-04:00,120,2025-03-25T15:26:55.570322-04:00,true,2025-03-25T15:29:22.815948-04:00,,,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:26:55.570322-04:00,0,2025-03-25T15:26:55.570322-04:00,true,2025-03-25T15:29:14.417723-04:00,Answer,2025-03-25T15:26:55.570322-04:00,01JQ7CBAHFDWMWQF8NPF9NBJWM,2025-03-25T15:26:55.570322-04:00,true,2025-03-25T15:29:14.393767-04:00,true,2025-03-25T15:29:14.448093-04:00,,,01JQ7CBAJGJAVRNBY36SWCRMPE,2025-03-25T15:26:55.570322-04:00
01JQ79Y8P5HABW9NQ2WWY9EP2H,01JQ79XPF0N0KBE52WAZ8EFWQ1,2025-03-25T14:44:50.50145-04:00,30000,2025-03-25T14:44:50.50145-04:00,true,2025-03-25T14:45:01.285406-04:00,,,01JQ79XPFX87YKRPHCRC8PANME,2025-03-25T14:44:50.50145-04:00,0,2025-03-25T14:44:50.50145-04:00,true,2025-03-25T14:44:56.136408-04:00,Answer,2025-03-25T14:44:50.50145-04:00,01JQ79Y8NG0TWTP9KYJAY2GZEV,2025-03-25T14:44:50.50145-04:00,true,2025-03-25T14:44:56.121345-04:00,true,2025-03-25T14:44:56.147432-04:00,,,01JQ79Y8P2FA4QPVRSE8P8M0A7,2025-03-25T14:44:50.50145-04:00
01JQ7A13P2B04G5PQBWWEZW98T,01JQ7A0HGKSWHCF12W9Z0CH5GR,2025-03-25T14:46:23.682669-04:00,30000,2025-03-25T14:46:23.682669-04:00,true,2025-03-25T14:46:28.685906-04:00,,,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:23.682669-04:00,0,2025-03-25T14:46:23.682669-04:00,true,2025-03-25T14:46:23.935754-04:00,Answer,2025-03-25T14:46:23.682669-04:00,01JQ7A13NKVBD44HBFJ9M67CXD,2025-03-25T14:46:23.682669-04:00,true,2025-03-25T14:46:23.920554-04:00,true,2025-03-25T14:46:23.94173-04:00,,,01JQ7A13P0206WM2NYX22YZ6V2,2025-03-25T14:46:23.682669-04:00
01JQ7A13PN8H2KD65PARJN7BRQ,01JQ7A0HGKSWHCF12W9Z0CH5GR,2025-03-25T14:46:23.701389-04:00,30000,2025-03-25T14:46:23.701389-04:00,true,2025-03-25T14:46:42.317694-04:00,,,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:23.701389-04:00,0,2025-03-25T14:46:23.701389-04:00,true,2025-03-25T14:46:38.025405-04:00,Answer,2025-03-25T14:46:23.701389-04:00,01JQ7A13NMT5K3GGBH49X2R9PC,2025-03-25T14:46:23.701389-04:00,true,2025-03-25T14:46:38.012709-04:00,true,2025-03-25T14:46:38.031429-04:00,,,01JQ7A13PKHWV54QQT14TSKV87,2025-03-25T14:46:23.701389-04:00
01JQ79Y8PCJZ485NDSKDXNRDHX,01JQ79XPF0N0KBE52WAZ8EFWQ1,2025-03-25T14:44:50.508193-04:00,30000,2025-03-25T14:44:50.508193-04:00,true,2025-03-25T14:45:05.739467-04:00,,,01JQ79XPFX87YKRPHCRC8PANME,2025-03-25T14:44:50.508193-04:00,0,2025-03-25T14:44:50.508193-04:00,true,2025-03-25T14:45:01.356157-04:00,Answer,2025-03-25T14:44:50.508193-04:00,01JQ79Y8NG0TWTP9KYJYMEPVF9,2025-03-25T14:44:50.508193-04:00,true,2025-03-25T14:45:01.338114-04:00,true,2025-03-25T14:45:01.373607-04:00,,,01JQ79Y8P96HH0PVQS8XDDJBFT,2025-03-25T14:44:50.508193-04:00
01JQ7BVRTJA64QRBMC4FQXV6PC,01JQ7BTTHVBN8JNB2D20AFDYKY,2025-03-25T15:18:25.874807-04:00,120,2025-03-25T15:18:25.874807-04:00,true,2025-03-25T15:22:26.275469-04:00,,,01JQ7BTTJQ4XSVZYVHZS1KYSFX,2025-03-25T15:18:25.874807-04:00,0,2025-03-25T15:18:25.874807-04:00,true,2025-03-25T15:20:26.250226-04:00,Answer,2025-03-25T15:18:25.874807-04:00,01JQ7BVRRYNY53BSQZKAF2RBJE,2025-03-25T15:18:25.874807-04:00,true,2025-03-25T15:20:26.230189-04:00,true,2025-03-25T15:20:26.267473-04:00,,,01JQ7BVRTFFD5Q3KTWRBH69TG8,2025-03-25T15:18:25.874807-04:00
